2026-05-26 18:57:31,068 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:31,068 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,068 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,068 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:31,069 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:31,069 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,069 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,069 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2026-05-26 18:57:31,070 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2026-05-26 18:57:31,070 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,070 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,331 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-05-26 18:57:31,331 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-05-26 18:57:31,331 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-05-26 18:57:31,331 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-05-26 18:57:31,359 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child ring failed
2026-05-26 18:57:31,433 INFO  ExportHelperExtension.cs: 347 - Creating joint little
2026-05-26 18:57:31,433 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2026-05-26 18:57:31,434 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-05-26 18:57:31,434 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-05-26 18:57:31,434 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2026-05-26 18:57:31,434 INFO  ExportHelperExtension.cs: 1409 - Component 30 is already fixed
2026-05-26 18:57:31,434 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2026-05-26 18:57:31,435 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2026-05-26 18:57:31,435 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2026-05-26 18:57:31,435 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2026-05-26 18:57:31,436 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2026-05-26 18:57:31,436 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2026-05-26 18:57:31,436 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2026-05-26 18:57:31,436 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
